quarter,year,quarter_number,quarter_start,house_type,completions
2011Q1,2011,1,2011-01-01,Single house,1156
2011Q1,2011,1,2011-01-01,Scheme house,447
2011Q1,2011,1,2011-01-01,Apartment,272
2011Q2,2011,2,2011-04-01,Single house,1194
2011Q2,2011,2,2011-04-01,Scheme house,380
2011Q2,2011,2,2011-04-01,Apartment,217
2011Q3,2011,3,2011-07-01,Single house,1197
2011Q3,2011,3,2011-07-01,Scheme house,305
2011Q3,2011,3,2011-07-01,Apartment,185
2011Q4,2011,4,2011-10-01,Single house,1267
2011Q4,2011,4,2011-10-01,Scheme house,226
2011Q4,2011,4,2011-10-01,Apartment,148
2012Q1,2012,1,2012-01-01,Single house,797
2012Q1,2012,1,2012-01-01,Scheme house,211
2012Q1,2012,1,2012-01-01,Apartment,123
2012Q2,2012,2,2012-04-01,Single house,847
2012Q2,2012,2,2012-04-01,Scheme house,194
2012Q2,2012,2,2012-04-01,Apartment,76
2012Q3,2012,3,2012-07-01,Single house,868
2012Q3,2012,3,2012-07-01,Scheme house,244
2012Q3,2012,3,2012-07-01,Apartment,93
2012Q4,2012,4,2012-10-01,Single house,989
2012Q4,2012,4,2012-10-01,Scheme house,315
2012Q4,2012,4,2012-10-01,Apartment,154
2013Q1,2013,1,2013-01-01,Single house,638
2013Q1,2013,1,2013-01-01,Scheme house,174
2013Q1,2013,1,2013-01-01,Apartment,77
2013Q2,2013,2,2013-04-01,Single house,721
2013Q2,2013,2,2013-04-01,Scheme house,281
2013Q2,2013,2,2013-04-01,Apartment,144
2013Q3,2013,3,2013-07-01,Single house,727
2013Q3,2013,3,2013-07-01,Scheme house,267
2013Q3,2013,3,2013-07-01,Apartment,39
2013Q4,2013,4,2013-10-01,Single house,861
2013Q4,2013,4,2013-10-01,Scheme house,433
2013Q4,2013,4,2013-10-01,Apartment,213
2014Q1,2014,1,2014-01-01,Single house,625
2014Q1,2014,1,2014-01-01,Scheme house,309
2014Q1,2014,1,2014-01-01,Apartment,160
2014Q2,2014,2,2014-04-01,Single house,712
2014Q2,2014,2,2014-04-01,Scheme house,365
2014Q2,2014,2,2014-04-01,Apartment,241
2014Q3,2014,3,2014-07-01,Single house,728
2014Q3,2014,3,2014-07-01,Scheme house,506
2014Q3,2014,3,2014-07-01,Apartment,170
2014Q4,2014,4,2014-10-01,Single house,910
2014Q4,2014,4,2014-10-01,Scheme house,615
2014Q4,2014,4,2014-10-01,Apartment,177
2015Q1,2015,1,2015-01-01,Single house,659
2015Q1,2015,1,2015-01-01,Scheme house,606
2015Q1,2015,1,2015-01-01,Apartment,106
2015Q2,2015,2,2015-04-01,Single house,735
2015Q2,2015,2,2015-04-01,Scheme house,674
2015Q2,2015,2,2015-04-01,Apartment,161
2015Q3,2015,3,2015-07-01,Single house,879
2015Q3,2015,3,2015-07-01,Scheme house,899
2015Q3,2015,3,2015-07-01,Apartment,255
2015Q4,2015,4,2015-10-01,Single house,979
2015Q4,2015,4,2015-10-01,Scheme house,1115
2015Q4,2015,4,2015-10-01,Apartment,151
2016Q1,2016,1,2016-01-01,Single house,686
2016Q1,2016,1,2016-01-01,Scheme house,926
2016Q1,2016,1,2016-01-01,Apartment,324
2016Q2,2016,2,2016-04-01,Single house,872
2016Q2,2016,2,2016-04-01,Scheme house,1248
2016Q2,2016,2,2016-04-01,Apartment,248
2016Q3,2016,3,2016-07-01,Single house,970
2016Q3,2016,3,2016-07-01,Scheme house,1216
2016Q3,2016,3,2016-07-01,Apartment,264
2016Q4,2016,4,2016-10-01,Single house,1059
2016Q4,2016,4,2016-10-01,Scheme house,1638
2016Q4,2016,4,2016-10-01,Apartment,269
2017Q1,2017,1,2017-01-01,Single house,865
2017Q1,2017,1,2017-01-01,Scheme house,1409
2017Q1,2017,1,2017-01-01,Apartment,466
2017Q2,2017,2,2017-04-01,Single house,1023
2017Q2,2017,2,2017-04-01,Scheme house,1766
2017Q2,2017,2,2017-04-01,Apartment,444
2017Q3,2017,3,2017-07-01,Single house,1107
2017Q3,2017,3,2017-07-01,Scheme house,1997
2017Q3,2017,3,2017-07-01,Apartment,611
2017Q4,2017,4,2017-10-01,Single house,1215
2017Q4,2017,4,2017-10-01,Scheme house,2684
2017Q4,2017,4,2017-10-01,Apartment,631
2018Q1,2018,1,2018-01-01,Single house,958
2018Q1,2018,1,2018-01-01,Scheme house,2005
2018Q1,2018,1,2018-01-01,Apartment,467
2018Q2,2018,2,2018-04-01,Single house,1141
2018Q2,2018,2,2018-04-01,Scheme house,2750
2018Q2,2018,2,2018-04-01,Apartment,460
2018Q3,2018,3,2018-07-01,Single house,1199
2018Q3,2018,3,2018-07-01,Scheme house,2827
2018Q3,2018,3,2018-07-01,Apartment,568
2018Q4,2018,4,2018-10-01,Single house,1336
2018Q4,2018,4,2018-10-01,Scheme house,3362
2018Q4,2018,4,2018-10-01,Apartment,704
2019Q1,2019,1,2019-01-01,Single house,1090
2019Q1,2019,1,2019-01-01,Scheme house,2563
2019Q1,2019,1,2019-01-01,Apartment,568
2019Q2,2019,2,2019-04-01,Single house,1320
2019Q2,2019,2,2019-04-01,Scheme house,2830
2019Q2,2019,2,2019-04-01,Apartment,639
2019Q3,2019,3,2019-07-01,Single house,1251
2019Q3,2019,3,2019-07-01,Scheme house,3311
2019Q3,2019,3,2019-07-01,Apartment,1038
2019Q4,2019,4,2019-10-01,Single house,1409
2019Q4,2019,4,2019-10-01,Scheme house,3821
2019Q4,2019,4,2019-10-01,Apartment,1172
2020Q1,2020,1,2020-01-01,Single house,1105
2020Q1,2020,1,2020-01-01,Scheme house,2838
2020Q1,2020,1,2020-01-01,Apartment,985
2020Q2,2020,2,2020-04-01,Single house,871
2020Q2,2020,2,2020-04-01,Scheme house,1835
2020Q2,2020,2,2020-04-01,Apartment,516
2020Q3,2020,3,2020-07-01,Single house,1454
2020Q3,2020,3,2020-07-01,Scheme house,2869
2020Q3,2020,3,2020-07-01,Apartment,703
2020Q4,2020,4,2020-10-01,Single house,1518
2020Q4,2020,4,2020-10-01,Scheme house,4127
2020Q4,2020,4,2020-10-01,Apartment,1662
2021Q1,2021,1,2021-01-01,Single house,977
2021Q1,2021,1,2021-01-01,Scheme house,2259
2021Q1,2021,1,2021-01-01,Apartment,720
2021Q2,2021,2,2021-04-01,Single house,1155
2021Q2,2021,2,2021-04-01,Scheme house,2530
2021Q2,2021,2,2021-04-01,Apartment,1272
2021Q3,2021,3,2021-07-01,Single house,1193
2021Q3,2021,3,2021-07-01,Scheme house,2476
2021Q3,2021,3,2021-07-01,Apartment,953
2021Q4,2021,4,2021-10-01,Single house,1377
2021Q4,2021,4,2021-10-01,Scheme house,3406
2021Q4,2021,4,2021-10-01,Apartment,2125
2022Q1,2022,1,2022-01-01,Single house,1105
2022Q1,2022,1,2022-01-01,Scheme house,2799
2022Q1,2022,1,2022-01-01,Apartment,1689
2022Q2,2022,2,2022-04-01,Single house,1327
2022Q2,2022,2,2022-04-01,Scheme house,3934
2022Q2,2022,2,2022-04-01,Apartment,2317
2022Q3,2022,3,2022-07-01,Single house,1511
2022Q3,2022,3,2022-07-01,Scheme house,3575
2022Q3,2022,3,2022-07-01,Apartment,2276
2022Q4,2022,4,2022-10-01,Single house,1515
2022Q4,2022,4,2022-10-01,Scheme house,4822
2022Q4,2022,4,2022-10-01,Apartment,2739
2023Q1,2023,1,2023-01-01,Single house,1172
2023Q1,2023,1,2023-01-01,Scheme house,3080
2023Q1,2023,1,2023-01-01,Apartment,2372
2023Q2,2023,2,2023-04-01,Single house,1398
2023Q2,2023,2,2023-04-01,Scheme house,4018
2023Q2,2023,2,2023-04-01,Apartment,1836
2023Q3,2023,3,2023-07-01,Single house,1416
2023Q3,2023,3,2023-07-01,Scheme house,3642
2023Q3,2023,3,2023-07-01,Apartment,3329
2023Q4,2023,4,2023-10-01,Single house,1465
2023Q4,2023,4,2023-10-01,Scheme house,4750
2023Q4,2023,4,2023-10-01,Apartment,3985
2024Q1,2024,1,2024-01-01,Single house,1161
2024Q1,2024,1,2024-01-01,Scheme house,3071
2024Q1,2024,1,2024-01-01,Apartment,1559
2024Q2,2024,2,2024-04-01,Single house,1333
2024Q2,2024,2,2024-04-01,Scheme house,3954
2024Q2,2024,2,2024-04-01,Apartment,1521
2024Q3,2024,3,2024-07-01,Single house,1318
2024Q3,2024,3,2024-07-01,Scheme house,4498
2024Q3,2024,3,2024-07-01,Apartment,3058
2024Q4,2024,4,2024-10-01,Single house,1435
2024Q4,2024,4,2024-10-01,Scheme house,4669
2024Q4,2024,4,2024-10-01,Apartment,2547
2025Q1,2025,1,2025-01-01,Single house,1106
2025Q1,2025,1,2025-01-01,Scheme house,3034
2025Q1,2025,1,2025-01-01,Apartment,1767
2025Q2,2025,2,2025-04-01,Single house,1482
2025Q2,2025,2,2025-04-01,Scheme house,4643
2025Q2,2025,2,2025-04-01,Apartment,3027
2025Q3,2025,3,2025-07-01,Single house,1496
2025Q3,2025,3,2025-07-01,Scheme house,4547
2025Q3,2025,3,2025-07-01,Apartment,3154
2025Q4,2025,4,2025-10-01,Single house,1790
2025Q4,2025,4,2025-10-01,Scheme house,6078
2025Q4,2025,4,2025-10-01,Apartment,4091
2026Q1,2026,1,2026-01-01,Single house,1411
2026Q1,2026,1,2026-01-01,Scheme house,4092
2026Q1,2026,1,2026-01-01,Apartment,2353
2026Q2,2026,2,2026-04-01,Single house,1427
2026Q2,2026,2,2026-04-01,Scheme house,4738
2026Q2,2026,2,2026-04-01,Apartment,2658
