quarter,year,quarter_number,quarter_start,local_authority,completions
2011Q1,2011,1,2011-01-01,Cork City Council,39
2011Q1,2011,1,2011-01-01,Clare County Council,52
2011Q1,2011,1,2011-01-01,Cavan County Council,61
2011Q1,2011,1,2011-01-01,Cork County Council,168
2011Q1,2011,1,2011-01-01,Carlow County Council,17
2011Q1,2011,1,2011-01-01,Dublin City Council,72
2011Q1,2011,1,2011-01-01,Dún Laoghaire Rathdown County Council,30
2011Q1,2011,1,2011-01-01,Donegal County Council,118
2011Q1,2011,1,2011-01-01,Fingal County Council,144
2011Q1,2011,1,2011-01-01,Galway County Council,93
2011Q1,2011,1,2011-01-01,Galway City Council,15
2011Q1,2011,1,2011-01-01,Kildare County Council,126
2011Q1,2011,1,2011-01-01,Kilkenny County Council,40
2011Q1,2011,1,2011-01-01,Kerry County Council,62
2011Q1,2011,1,2011-01-01,Longford County Council,11
2011Q1,2011,1,2011-01-01,Louth County Council,48
2011Q1,2011,1,2011-01-01,Limerick City & County Council,54
2011Q1,2011,1,2011-01-01,Leitrim County Council,42
2011Q1,2011,1,2011-01-01,Laois County Council,34
2011Q1,2011,1,2011-01-01,Meath County Council,70
2011Q1,2011,1,2011-01-01,Monaghan County Council,26
2011Q1,2011,1,2011-01-01,Mayo County Council,67
2011Q1,2011,1,2011-01-01,Offaly County Council,28
2011Q1,2011,1,2011-01-01,Roscommon County Council,26
2011Q1,2011,1,2011-01-01,South Dublin County Council,41
2011Q1,2011,1,2011-01-01,Sligo County Council,52
2011Q1,2011,1,2011-01-01,Tipperary County Council,63
2011Q1,2011,1,2011-01-01,Waterford City & County Council,96
2011Q1,2011,1,2011-01-01,Westmeath County Council,33
2011Q1,2011,1,2011-01-01,Wicklow County Council,74
2011Q1,2011,1,2011-01-01,Wexford County Council,73
2011Q2,2011,2,2011-04-01,Cork City Council,36
2011Q2,2011,2,2011-04-01,Clare County Council,49
2011Q2,2011,2,2011-04-01,Cavan County Council,28
2011Q2,2011,2,2011-04-01,Cork County Council,200
2011Q2,2011,2,2011-04-01,Carlow County Council,24
2011Q2,2011,2,2011-04-01,Dublin City Council,109
2011Q2,2011,2,2011-04-01,Dún Laoghaire Rathdown County Council,68
2011Q2,2011,2,2011-04-01,Donegal County Council,139
2011Q2,2011,2,2011-04-01,Fingal County Council,134
2011Q2,2011,2,2011-04-01,Galway County Council,108
2011Q2,2011,2,2011-04-01,Galway City Council,17
2011Q2,2011,2,2011-04-01,Kildare County Council,42
2011Q2,2011,2,2011-04-01,Kilkenny County Council,50
2011Q2,2011,2,2011-04-01,Kerry County Council,67
2011Q2,2011,2,2011-04-01,Longford County Council,14
2011Q2,2011,2,2011-04-01,Louth County Council,53
2011Q2,2011,2,2011-04-01,Limerick City & County Council,49
2011Q2,2011,2,2011-04-01,Leitrim County Council,13
2011Q2,2011,2,2011-04-01,Laois County Council,33
2011Q2,2011,2,2011-04-01,Meath County Council,64
2011Q2,2011,2,2011-04-01,Monaghan County Council,21
2011Q2,2011,2,2011-04-01,Mayo County Council,59
2011Q2,2011,2,2011-04-01,Offaly County Council,36
2011Q2,2011,2,2011-04-01,Roscommon County Council,54
2011Q2,2011,2,2011-04-01,South Dublin County Council,16
2011Q2,2011,2,2011-04-01,Sligo County Council,34
2011Q2,2011,2,2011-04-01,Tipperary County Council,94
2011Q2,2011,2,2011-04-01,Waterford City & County Council,29
2011Q2,2011,2,2011-04-01,Westmeath County Council,37
2011Q2,2011,2,2011-04-01,Wicklow County Council,37
2011Q2,2011,2,2011-04-01,Wexford County Council,77
2011Q3,2011,3,2011-07-01,Cork City Council,51
2011Q3,2011,3,2011-07-01,Clare County Council,47
2011Q3,2011,3,2011-07-01,Cavan County Council,45
2011Q3,2011,3,2011-07-01,Cork County Council,164
2011Q3,2011,3,2011-07-01,Carlow County Council,24
2011Q3,2011,3,2011-07-01,Dublin City Council,41
2011Q3,2011,3,2011-07-01,Dún Laoghaire Rathdown County Council,15
2011Q3,2011,3,2011-07-01,Donegal County Council,115
2011Q3,2011,3,2011-07-01,Fingal County Council,96
2011Q3,2011,3,2011-07-01,Galway County Council,105
2011Q3,2011,3,2011-07-01,Galway City Council,9
2011Q3,2011,3,2011-07-01,Kildare County Council,42
2011Q3,2011,3,2011-07-01,Kilkenny County Council,84
2011Q3,2011,3,2011-07-01,Kerry County Council,77
2011Q3,2011,3,2011-07-01,Longford County Council,12
2011Q3,2011,3,2011-07-01,Louth County Council,31
