quarter,ireland_completions,dublin_completions,non_dublin_completions,dublin_completions_yoy_pct,non_dublin_completions_yoy_pct,dublin_price_growth_pct,non_dublin_price_growth_pct
2011Q1,1875,287,1588,,,-13.4,-16.5
2011Q2,1791,327,1464,,,-14.5,-17.6
2011Q3,1687,181,1506,,,-19.4,-20.1
2011Q4,1641,169,1472,,,-19.9,-19.2
2012Q1,1131,110,1021,-61.67,-35.71,-18.2,-17.9
2012Q2,1117,100,1017,-69.42,-30.53,-14.9,-17.1
2012Q3,1205,145,1060,-19.89,-29.61,-5.2,-11.1
2012Q4,1458,229,1229,35.5,-16.51,3.6,-9.2
2013Q1,889,113,776,2.73,-24.0,4.3,-11.4
2013Q2,1146,185,961,85.0,-5.51,9.9,-7.4
2013Q3,1033,181,852,24.83,-19.62,13.5,-4.8
2013Q4,1507,350,1157,52.84,-5.86,14.0,-1.6
2014Q1,1094,301,793,166.37,2.19,20.6,3.6
2014Q2,1318,441,877,138.38,-8.74,26.9,7.6
2014Q3,1404,432,972,138.67,14.08,27.9,10.4
2014Q4,1702,534,1168,52.57,0.95,22.7,12.4
2015Q1,1371,445,926,47.84,16.77,19.6,13.8
2015Q2,1570,438,1132,-0.68,29.08,10.0,15.1
2015Q3,2033,563,1470,30.32,51.23,2.4,13.0
2015Q4,2245,671,1574,25.66,34.76,3.8,10.7
2016Q1,1936,790,1146,77.53,23.76,4.9,10.1
2016Q2,2368,840,1528,91.78,34.98,3.2,8.0
2016Q3,2450,835,1615,48.31,9.86,6.2,10.1
2016Q4,2966,1086,1880,61.85,19.44,6.7,11.2
2017Q1,2740,1034,1706,30.89,48.87,7.2,12.2
2017Q2,3233,1255,1978,49.4,29.45,10.6,11.8
2017Q3,3715,1507,2208,80.48,36.72,11.2,12.5
2017Q4,4530,1741,2789,60.31,48.35,11.7,12.6
2018Q1,3430,1192,2238,15.28,31.18,11.7,13.7
2018Q2,4351,1787,2564,42.39,29.63,9.0,15.2
2018Q3,4594,1844,2750,22.36,24.55,6.4,10.7
2018Q4,5402,2013,3389,15.62,21.51,3.9,8.9
2019Q1,4221,1453,2768,21.9,23.68,0.9,6.8
2019Q2,4789,1455,3334,-18.58,30.03,0.1,4.0
2019Q3,5600,1934,3666,4.88,33.31,-1.1,3.4
2019Q4,6402,2048,4354,1.74,28.47,-1.7,2.4
2020Q1,4928,1632,3296,12.32,19.08,0.6,1.3
2020Q2,3222,828,2394,-43.09,-28.19,-0.6,0.6
2020Q3,5026,1094,3932,-43.43,7.26,-1.8,0.2
2020Q4,7307,2476,4831,20.9,10.96,1.5,3.0
2021Q1,3956,1005,2951,-38.42,-10.47,2.3,4.7
2021Q2,4957,1520,3437,83.57,43.57,6.3,7.4
2021Q3,4622,1228,3394,12.25,-13.68,11.7,13.1
2021Q4,6908,2490,4418,0.57,-8.55,12.9,15.2
2022Q1,5593,2144,3449,113.33,16.88,12.6,17.1
2022Q2,7578,2706,4872,78.03,41.75,11.4,16.0
2022Q3,7362,2609,4753,112.46,40.04,9.2,11.8
2022Q4,9076,2896,6180,16.31,39.88,5.9,9.1
2023Q1,6624,2508,4116,16.98,19.34,1.9,5.6
2023Q2,7252,2347,4905,-13.27,0.68,-0.8,4.4
2023Q3,8387,3560,4827,36.45,1.56,-1.7,3.9
2023Q4,10200,4168,6032,43.92,-2.39,2.5,5.3
2024Q1,5791,1859,3932,-25.88,-4.47,7.3,7.4
2024Q2,6808,2061,4747,-12.19,-3.22,9.3,8.5
2024Q3,8874,3729,5145,4.75,6.59,10.8,9.3
2024Q4,8651,3230,5421,-22.5,-10.13,8.4,9.2
2025Q1,5907,1897,4010,2.04,1.98,6.0,8.8
2025Q2,9152,3803,5349,84.52,12.68,6.8,8.8
2025Q3,9197,3319,5878,-10.99,14.25,5.3,9.2
2025Q4,11959,4662,7297,44.33,34.61,5.6,7.9
2026Q1,7856,2537,5319,33.74,32.64,6.0,7.2
2026Q2,8823,3180,5643,-16.38,5.5,4.6,6.4
